Title,Brand,Screen_Size,Rating,Price,Ram(Gb),Disk_Size_GB,Price_IDR,Cpu_Type
"2022 Microsoft Surface Laptop Go 12.4"" Touchscreen, Intel Core i5-1035G1 Processor, Up to 13Hr Battery Life, WiFi, Webcam, Windows 11 Pro, Platinum Silver (4GB RAM | 256GB SSD)",Microsoft,12.4,3.9,$359.99,4,256.0,5554.6457,i5
"Dell Latitude 3510 Business Laptop Black (Intel i5-1135G7 4-Core, 16GB RAM, 256GB PCIe SSD, Intel UHD, 15.6"" Full HD (1920x1080), WiFi, Bluetooth, Webcam, 1xUSB 3.2, 1xHDMI, SD Card, Win 10 Pro)",Dell,15.6,4.3,$818.00,16,256.0,12621.74,i5
"MSI Bravo 15 15.6"" 144Hz Gaming Laptop: AMD Ryzen R5-5600H, RX 5500M, 16GB, 512GB NVMe SSD, Win11 (B5DD-243)",MSI,15.6,4.5,$699.00,16,512.0,10785.57,Ryzen
"MSI Latest GE76 Raider Gaming Laptop | 17.3"" 144 Hz FHD Display | Intel 14-Core i9-12900H | 64GB DDR5 2TB SSD | NVIDIA RTX3060 | WiFi 6 | HDMI | RJ45 | Thunberbolt4 | Backlit KB RGB | DTS | Win11 Pro",MSI,17.3,5.0,"$2,449.99",64,2048.0,37803.3457,i9
"Alienware m15 15.6"" Gaming Notebook i7-8750H 16GB RAM 1TB HHD 8GB SSHD Black",Alienware,17.3,5.0,"$1,799.95",16,1024.0,27773.2285,i7
"EXCaliberPC 2022 MSI Pulse GL76 12UGK-256 (i7-12700H, 16GB RAM, 512GB NVMe SSD, RTX 3070 8GB, 17.3"" 144Hz FHD, Windows 11) Gaming Laptop",EXCaliberPC,17.3,4.1,"$1,699.00",16,512.0,26215.57,i7
"EXCaliberPC 2022 MSI Raider GE76 12UH-655 Pro Extreme (i9-12900HK, 64GB RAM, 3TB NVMe SSD, RTX 3080 8GB, 17.3"" 144Hz FHD, Windows 11 Pro) Gaming Laptop",EXCaliberPC,17.3,5.0,"$4,345.00",64,3072.0,67043.35,i9
"EXCaliberPC 2022 ASUS ROG Strix Scar 15 G533ZM-ES93 (i9-12900H, 16GB RAM, 512GB NVMe SSD, RTX 3060 6GB, 15.6"" FHD 300Hz 3ms, Windows 11) Gaming Notebook",EXCaliberPC,15.6,5.0,"$1,799.00",16,512.0,27758.57,i9
"2022 MSI Titan GT77 12UGS-009 (i7-12800HX, 32GB RAM, 4TB Platinum P41 NVMe SSD, RTX 3070Ti 8GB, 17.3"" 4K UHD, Windows 11 Pro) Gaming Laptop",EXCaliberPC,17.3,5.0,"$3,295.00",32,4096.0,50841.85,i7
"GIGABYTE A5 X1 - 15.6"" FHD IPS Anti-Glare 240Hz - AMD Ryzen™ 9 5900HX - NVIDIA GeForce RTX 3070 Laptop GPU 8 GB GDDR6 - 16 GB Memory - 512 GB PCIe SSD - Win 11 Home - Gaming Laptop (A5 X1-CUS2130SB)",GIGABYTE,15.6,4.1,"$1,399.00",16,512.0,21586.57,Ryzen
"Panasonic Toughbook CF-53SJCZYLM Laptop (Windows 7, Intel Core i5-3439Y, 14"" LED-lit Screen, Storage: 320 GB, RAM: 4 GB) Silver",Panasonic,14,3.1,"$1,949.99",4,320.0,30088.345699999998,i5
"MSI GF63 Thin Gaming Laptop, 15.6"" FHD IPS Display, 11th Gen 6-Core i5-11400H, GeForce GTX 1650, 16GB RAM, 1TB PCIe SSD+1TB HDD, USB-C, HDMI, RJ45, WiFi 6, Backlit, SPS HDMI Cable, Win 11",MSI,15.6,5.0,$689.99,16,1024.0,10646.5457,i5
"2022 MSI Raider GE66 12UHS-235 Pro Extreme (i9-12900HK, 64GB RAM, 4TB NVMe SSD, RTX 3080Ti 16GB, 15.6"" 4K UHD, Windows 11) Gaming Laptop",EXCaliberPC,15.6,5.0,"$4,595.00",64,4096.0,70900.85,i9
"MSI GS76 Stealth 17.3"" FHD 360Hz 3ms Ultra Thin and Light Gaming Laptop Intel Core i9-11900H RTX3070 32GB 1TB NVMe SSD Win11 VR Ready - Black (11UG-653)",MSI,17.3,5.0,"$1,899.00",32,1024.0,29301.57,i9
"2022 MSI Creator Z17 A12UHT-048 Pro Extreme (i9-12900H, 64GB RAM, 4TB NVMe SSD, RTX 3080 8GB, 17"" QHD+ 165Hz Touch, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,17,0.0,"$5,195.00",64,4096.0,80158.84999999999,i9
"2022 MSI CreatorPro M16 A12UJS-458 (i7-12700H, 64GB RAM, 1TB NVMe SSD, Quadro RTX A2000 8GB, 16"" QHD+, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,16,0.0,"$2,319.00",64,1024.0,35782.17,i7
"2021 MSI GF63 Thin Gaming 15.6"" FHD Laptop Computer, Intel Core i5-10300H (Beats i7-9750H), 32GB RAM, 1TB PCIe SSD, Backlit Keyboard, GeForce GTX 1650 MaxQ, HD Webcam, Win 10, Black, 32GB USB Card",MSI,15.6,4.2,$799.00,32,1024.0,12328.57,i5
"MSI Raider GE66 15.6"" QHD 240Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 Ti 32GB DDR5 1TB NVMe SSD, USB-Type C, Thunderbolt 4, Cooler Boost 5, Win11 Home: Titanium Blue 12UGS-238",MSI,15.6,4.8,"$1,899.00",32,1024.0,29301.57,i7
"Packard Bell CloudBook 14.1 inch Laptop, Full HD Display, Windows 11 Home S Mode, Intel Celeron N4020 Quad Core, 4GB RAM, 128GB Memory SSD, WiFi Connectable, HD Camera, Thin & Light, Blue",Packard Bell,14,3.8,$229.99,4,128.0,3548.7457,Celeron
"MSI WF76 Workstation Laptop: 17.3"" 144Hz FHD 1080p, Intel Core i7-11800H, NVIDIA Quadro A2000 , 16GB, 1TB SSD, Type C, WiFi 6, TPM2.0 Fingerprint, Win10 PRO, Black (11UJ-299)",MSI,17.3,0.0,"$1,658.52",16,1024.0,25590.9636,i7
"EXCaliberPC 2022 MSI Prestige 14 A12SC-010 (i5-1240P, 16GB RAM, 512GB NVMe SSD, GTX 1650 4GB, 14"" FHD, Windows 11) Professional Laptop - Blue Stone",EXCaliberPC,14,3.0,"$1,099.00",16,512.0,16957.57,i5
"EXCaliberPC 2022 MSI Creator Z16 A12UET-031US (i7-12700H, 16GB RAM, 1TB NVMe SSD, RTX 3060 6GB, 16"" QHD+ 120Hz, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,16,0.0,"$2,399.00",16,1024.0,37016.57,i7
"EXCaliberPC 2022 MSI Pulse GL76 12UEK-052 (i7-12700H, 16GB RAM, 512GB NVMe SSD, RTX 3060 6GB, 17.3"" 144Hz FHD, Windows 11) Gaming Laptop",EXCaliberPC,17.3,0.0,"$1,449.00",16,512.0,22358.07,i7
